idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,A descriptor for a time that is yet to happen. Something you can make plans for.,Future,,,"People look forward to this, it is a place in time and it is ahead of us.",Future,,,It is the opposite of the past. It means something that has not happened yet.,Future,,,"The opposite concept of the past. It involve ""things"" that are yet to come.",Past,,,this is not something that is going to happen in the future but happened in previous times Qoeen Elizabeth was the queen of England in previous times
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,A massive and mountain-like piece of ice. Popular for decimating the Titanic.,Iceberg,,,"This sank the titanic, they usually break off near the north pole and float south, the magority of there mass is underneath the sea.",Iceberg,,,It is a large frozen object. The Titanic crashed into one of these.,Iceberg,,,Frozen water in the biggest form that happens within the ocean. It was the downfall of the Titanic.,Iceburg,,,its a kind of landscape that's found out at tea normally in very cold conditions it was responsible for sinking the Titanic
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Despise,,,An intense feeling of hatred for something or someone. You would use the word prior to uttering the thing you hate.,Disgust,,,An emotion you get when you really don't like something. on par with feeling sick,Nausea,,,This means the sensation of feeling sick to your stomach. This can involve the feeling of wanting to vomit.,Nauseous,,,The feeling someone gets before they are sick. It is often a potential side effect of many drugs,Nausea,,,"i have been eating chocolate all day and now im feeling this way because of all the sugar and milk,"
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Optimal,,,The best performance something can do. The top level that something can function in.,Extraordinary,,,"When something is out of the normal or unusual, usually in a good way",Fantastic,,,"This means wonderful, marvelous supreme. This word precedes the word FOUR for a group of Marvel super heroes.",Fantastic,,,"A word for when you are happy, things are amazing, brilliant, sublime .. ect. Made more famous by Roald Dahl and a Mr Fox.",Bliss,,,when im at the spa i m feeling so relaxed i t makes me feel like life is just
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Marketplace,,,Where something is sold. A popular example is hosted on Facebook.,Market,,,"Things are bought and sold here, usually food related and usually it happens one a week on a set day eg. Thursday.",Market,,,This is a place to buy food or other goods. This word is often preceded by the word super.,Market,,,A collection of stall or venders all selling different items within a small geographical area. Is used to refer to the space in which trade takes place.,Flea market,,,its a place i goto out doors normally where i can find lots of people selling their unwanted items
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,A liquid that is denser than water and repels it. Often used for frying food.,Oil,,,"It is pumped from the ground and sold by the barrel, theres plenty of it in the middle east.",Oil,,,It is something you put in your car to lubricate it. Texas produces a lot of this,Oil,,,"The liquid which is drilled for and is the remnants of decomposed creatures. It is also used a lot in cooking, the most popular form are olive, rapeseed, sunflower and coconut.",Oil,,,drill baby drill the north sea is full of this and the war in iran has caused the cost of this to go very high
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Enigma,,,A mysterious person or thing that works in ways that are not understood. Can be a descriptor for a person that your attention is caught by due to their thought-provoking manner of being.,Philosophy,,,"a word used to described why we do things and the meaning of things, it was very big in ancient Greece.",Philosophy,,,This word is the study of thinking about and questioning the meaning of life among other topics. It is a mindset belief people live by.,Philosophy,,,"The science of thinking, pondering and creating meaning from abstract topics. Famous practisers of this science include; Socrates, Plato and Aristotle.",Philosopher,,,"this is a person who likes to study and seek wisdom over centuries we have had some very famous ones, Harry potters first ever book had a stone belonging to one of these people"
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,Can be used as a descriptor for eating beyond what is reasonable. It is a kind of greed that is relevant to food.,Philosophy,,,"Pondering Existence, originated in ancient greece.",Philosophy,,,"This word means the study of thinking about various topics. It questions the meaning of life , exsistence and reasoning",Psychology,,,A science that focuses on thoughts and the brain. Often associated with the study of behaviour and patterns and sub conscious and conscious efforts associated with the mind,Psychology,,,"its a study about human emotions and anxieties, its become a very popular study for people in recent years,"
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,"A four-legged mammal that was commonly used to draw carriages. It has hoofs, a mane, and a tail.",Horse,,,"Humans us these to race around a track, years ago they were used to get around and pull carts, they live in paddocks and stables.",Horse,,,This is an animal races in the Kentucky Derby. They have metal shoes put on them to protect their hooves,Horse racing,,,An event where people watch and place bets on large brown four legged animals that are being ridden by jockeys. Famous example of this event include the Grand Nationals and the Kentucky Derby.,Horse racing,,,"big animals go round a track competing against each other, the first one past the post is the winners"
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Pitcher,,,"In baseball, the person who throws the ball. Can also be a reservoir for drinks.",Pitcher,,,A liquid is poured into this so it can be poured into individual servings latter usually made of glass. it sits on the dinner table when in use.,Jug,,,This is a vessel that holds liquids to consume. The plural form of this word is a vulgar reference to a woman's chest.,Jug,,,"A container used for holding and transporting liquid, and then pouring it into a new glass. Also used as a slang term for women's breasts.",Cup,,,a sporting event every 4 years where the teams that qualify playing group stages then knockout rounds and the winner at the end takes the biggest prize in the sport
