idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,"Sometimes people will make plans, or have their dreams set for this time. It's a time that hasn't happened in life yet.",Future,,,What will happen after the present. People can be said to be looking towards it.,Future,,,you live in the present but you have a past and you also have this word. we expect there to be flying cars and lasers in this word when it’s here,Future,,,This is a word that describes a time that has not happened yet. People may say that they are saving something for this word.,Future,,,it is yet to come it is the opposite of the past
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,It's a very big ice that forms. You can find this particular ice and really cold places,Glacier,,,A large structure made of solid water. It can be seen floating in the water in very cold climates.,Iceberg,,,they are known to be melting. one of them sank the titanic,Iceberg,,,"A large body of frozen water, with most of it under water. This word may describe a type of lettuce.",Iceberg,,,It's big and cold and floats in water in the ocean and sea's and can be extremely destructive
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Malice,,,This often comes up when someone is very cruel to someone. The person intentionally wants to cause harm or be mean to someone.,Cruelty,,,The act of being unnecessarily unkind to a person. This goes beyond simply being rude.,Mean,,,what would you call someone who did something that hurt your feelings. there was a show containing the same word in its name as —— girls,Mean,,,Someone who is nasty to other people. A type of average.,Mean,,,"someone who is hurtful, rude or cruel and also someone who is the opposite of kind"
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,This can describe if something maybe good or bad. It can also describes if something is actually working properly or not.,Quality,,,A way to judge how good something is. Expensive objects are often said to be high in this regard.,Quality,,,the word commonly used to describe the difference between a gucci bag versus a walmart bag. certain jewels are worth more money depending on this word.,Authenticity,,,The is a word with indicates something has been proved to be genuine. Certificates are issued for items that bear this word.,Authentic,,,real and not fake someone who is honest
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Market,,,"This can be an out door space or it can be found indoors. It has clothes, household items and food at this place.",Market,,,A place in which many people take goods to be sold. They are often a hub for all sorts of local produce.,Market,,,a place where you can go and shop at stands. it is commonly ran by farmers,Market,,,"An area where things are bought and sold, such as fruit, veg and clothing. This word may also be used to describe the current going price for certain items.",Market,,,"you purchase groceries at this place, you can also get flowers and bakery"
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,People use this for cooking. It can't be mixed with water and it's a liquid.,Oil,,,A highly valuable fuel. There are reserves of it found in liquid form deep underground.,Oil,,,what is the most common resource in the middle east. what is their largest export,Oil,,,"A word to describe a substance that is pumped out of the ground, and has to usually be refined to be used. This word may describe a substance that is used to cook food in a frying pan.",Oil,,,It is slippery and you can use it to cook you put this in your car to keep it working
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Inexplicable,,,It describes a situation that sometimes can be impossible to understand. It sometimes can cause confusion because it's not very clear.,Ambiguous,,,A word used when something is not quite clear. It is said to be this word when an object is not clear if it is one thing or another.,Vague,,,when people speak about something but don’t go into detail. when you have a very minuscule understanding or something,Brief,,,This may describe a report that has been presented for informational purposes. It may also indicate that something was seen for a small period of time.,Analysis,,,breaking into parts to study it the process of interpreting data
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,This is when you eat too much food and have no self control. Some people struggle with it and it gets to be unhealthy.,Gluttony,,,One of the seven deadly sins. Someone who eats far more than they need is guilty of this.,Greed,,,the 7 deadly sin that relates to money. they made a christmas movie about this word where the protagonist doesn’t let his employees have a day off nor does he pay them more than he barely has to,Greed,,,One of the seven deadly sins. A description of a trait that makes someone take much more than they need.,Greed,,,someone who doesn't share someone who will never give you money
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,It's a large animal that has hooves. It can run fast and sometimes people ride on them.,Horse,,,A large animal often used for pulling heavy loads. Also commonly used as transport.,Horse,,,they’re commonly running around in the kentucky derby. they made a gacha game about this animal where they turned into anime women.,Horse,,,An animal that people ride and was widely used for transportation. The animals name is use in combustion engine power descriptions.,Horse,,,"it's big and beautiful and come's in brown and white and black and tan you can ride it and it can pull buggies, in the olden days it was the only means of transportation"
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Flask,,,It's a small container that can hold drinks. People can carry this around easily.,Bottle,,,A long round structure with a cap or lid. Often made of glass or plastic and used to hold liquids.,Bottle,,,it is commonly used as a container to transport liquid. it is most commonly associated with the word water,Bottle,,,"A tall thin usually glass container use for wine. A person who has decided not to do something, has back out of an agreement may be said to have lost this.",Nerve,,,it's inside our bodies and if it gets cut it hurts extremely bad It is someone that has guts and is brave
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,"People can get this from conversations, researching on the computer, or even from reading books. It's facts that you help you understand.",Knowledge,,,It is a concept that is attained through a large amount of study and reading. People that are at the heights of their field are often said to have a lot of it.,Knowledge,,,a common phrase associated with a attribute people have when they are viewed as highly intelligent or understanding. it is frequently seen with the word scholar,Teacher,,,A person who passes on knowledge to younger people This is usually in a class room.,Teacher,,,"someone who helps you learn your abc's and math, history, english"
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Child,,,This person is cared for by a parent or guardian. They are still growing but they are not an adult yet.,Child,,,A human being that has not yet reached maturity. It is referred to this for about the first decade of it's life.,Child,,,when two people love each other and want to start a family they have one of these. they are looked after by teachers in school.,Kids,,,This is a word that describes preteen children. This word may also describe young goats.,Kid,,,someone who isn't an adult yet someone who goes to elementary school
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Deference,,,Someone is trying to be kind to the next person because they know the other person maybe more experienced so they agree and obey their directions. It's often a way people show respect to authority.,Deference,,,Sometimes said before looking up information. If you give way to someone else's experience you could be said to be giving them this word.,Validation,,,sometimes when people are unsure of themselves they look for this in other people to know if they’re making the correct revision. this word is also used when you go through the process and it comes out as authentic,Confidence,,,Something people gain with experience. Someone may take you into theirs while sharing a secret.,Confidence,,,someone who believes in themselves the opposite of self doubt
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,It’s a shiny instrument that creates a loud sound when hit it. You can find it in drum sets.,Cymbal,,,"It is a round, thin, metallic object often gold in colour. It is often seen as part of a drum set.",Disc,,,before the age of digital purchases this was a common item. a famous business known as blockbusters was a leading provider of this,Video rental shop,,,A business premises where films may be hired to watch. This business may also have a selection of games that may be hired on display on shelves to choose from.,Theater,,,a place where you go to watch newly released shows
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,This can be found on different items like belts or bags. You can also find this inside of a car to keep you safe.,Buckle,,,An essential part of a belt. Used to keep it secure.,Buckle,,,commonly associated with being a part of a belt. it can also be used frequently in cars when you plug it into the little box with a seat belt,Clip,,,A short outtake from a film. One of these is used on the bottom of peoples trousers while riding a bike.,Clip,,,you use this to put your hair up you can use this to keep your potato chips fresh
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,Water falls from the sky and sometimes the clouds can be grey when it happens. The ground becomes very wet during this time.,Rain,,,A result of the change of temperature in the atmosphere. One of the most common weather phenomenons.,Wind,,,bad tornado storms usually come with thunder rain and this word. sometimes it is used as form of surfing and water boarding,Wind,,,"A natural stirring of the atmosphere, which may blow things around. A word meaning discomfort after eating a meal too quickly causing indigestion.",Wind,,,you can feel it in your hair you can see it move the tree's it can be destructive during storms
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,This is often thought of as the opposite of love. It’s when you detest and abhor someone and despise them.,Hate,,,This is a very strong feeling or dislike towards someone or something. It is more intense than simply being annoyed or upset.,Hate,,,It is a commonly used word to express a dislike for something or someone. The intensity of this emotion can range from a small frustration to a deep feeling of anger or disgust.,Hate,,,A strong word to use. The opposite of liking someone.,Hate,,,Extreme dislike towards something or someone. A type of crime towards others.,Hate,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,This is an animal the flies and has feathers. They’re very common and build nests for their broods or could be kept indoors in a cage.,Bird,,,"This is an animal with feathers, wings and usually have the ability to fly. They create nests which they lay eggs in.",Bird,,,"An animal species that have wings and fly in the air, coming in all sorts of shapes, colours, and sizes. Watching them is a popular hobby.",Bird,,,This thing flies in the sky and nests in trees. It is considered free and is used in many different songs.,Blackbird,,,This is a flying creature with normally dark colors. It is the name of a Beatles song,Bat,
