idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,This is what will happen later on in your life .it's the opposite of the past,Future,,,"Not the past, not the present but this thing. Movies about time travel deal with this.",Future,,,Not the past or present. Popular movie trilogy starring Marty McFly go into this time.,Future,,,This word describes the period of time that is neither now or the past but a time that is still to come. People look forward to it when they are young.,Present,,,"This can be a gift you give someone for a birthday, holiday, or special event. It can also mean the time happening right now."
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glaciers,,,This is another word or meaning for ice berg. A big mountain of ice,Glacier,,,This is often icy and in Antarctica. Also a used as a term for a flavor for drinks.,Slushy,,,If rain mixes with snow. The conditions are described as this.,Sleet,,,This word describes a form of precipitation or weather that is in between snow and rain. It more runny than snow but not quite thin enough to be rain.,Sleet,,,"This is cold, wet weather where rain falls mixed with tiny bits of ice. It usually happens when the temperature is close to freezing."
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Distain,,,"This verb means to ruin or tarnish a legacy,a reputation ,a company",Disgrace,,,People who did something awful are this. It’s not dishonored.,Criminal,,,Someone who goes against the law and gets sentenced. Often in prison.,Criminal,,,This word describes a person who has been judged to have committed an illegal act such as burglary or violence towards someone. This person would usually be sent to prison for a term dependent upon what they had done.,Criminal,,,"This is someone who breaks the law. They may steal, hurt someone, or do something illegal."
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Being,,,"This is a person's inner part ,this is what makes them unique",Personality,,,People fall in love with looks and with this attribute. Deals with how kind a person is or how funny they are.,Personality,,,It a description of how someone behaves and what they are like. You would say they have a nice or bad personality.,Trait,,,"This word is used to describe different aspects of a person's personality which differ from person to person. Examples of personality aspects include being humble, strong, kind, supportive, jealous, lazy and loyal.",Trait,,,"This is a feature or quality that helps describe someone or something. Being kind, tall, shy, or brave are all examples."
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Store,,,"This is a business a patron goes into to purchase items they need,some can be food ,some automotive,some for pets",Shop,,,People go on this type of spree when they buy a lot of items. Except remove the -ing,Shop,,,A place you go to buy things. There is often lots of these on the high street.,Store,,,This is the name of a place where people go to buy goods. They can be small and independent or large chains described as super.,Store,,,"This is a place where people go to buy things. You might find food, clothes, electronics, or other everyday items there."
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,"This natural resource is dug up from the ground ,it's black and automobile rely on it",Oil,,,You get this item changed in your car ever several thousand miles. This substance is the basis of gasoline.,Oil,,,You use this to degrease things when they get sticky. Often found in the desert.,Soap,,,This word describes a bar of a solid wax like substance that is used to wash the skin when showering or washing hands. It often has pleasant smells added to make a person smell nice.,Soap,,,"This is something you use with water to clean your hands, body, clothes, or dishes. It helps remove dirt and usually makes bubbles."
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Perplexed,,,"This is another meaning for confused ,stumped ,does not know the answer",Puzzled,,,To be confused. It’s all just a piece of a…,Puzzle,,,An interactive game causing you to think about where to place pieces of cut out. These pieces have edges that join together,Puzzle,,,This word describes a situation or game that is difficult to solve. It describes a popular pastime where a picture is backed by card or wood and then cut in to lots of pieces with round oddly shaped edges that interconnect when the shapes are put back in a way that matches the picture.,Puzzle,,,"This is something you try to solve by thinking carefully. It could be a game with pieces, a riddle, or a tricky problem."
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,"This is when a person can't get enough vod something,they over indulge on many things. It's one of the 7 deadly sins",Greed,,,Love of money. Will exploit people to get it.,Cheat,,,The label someone gets when they win dishonestly. A negative term.,Cheater,,,"This describes a person when they have acted in a way that is wrong in different situations. It can apply to someone who does wrong in a game, who has an affair in a relationship or uses sneaky tactics at work to get ahead.",Cheater,,,"This is a person who breaks rules to gain an unfair advantage. They may lie, secretly copy answers, or act dishonestly in a game, test, or relationship."
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,This is an animal that people used to use to travel on. The old West everyone had there own.,Horse,,,A four legged animal. Leaders of armies would ride these animals.,Horse,,,An animal that people used as transport in the past. You sit on the back and ride it.,Horse,,,"This word describes an animal with four legs, a long tail and mane, and makes a whinny sound. This animal can be wild or domesticated and used for riding, racing and working on farms.",Horse,,,"This is a large animal with four legs, hooves, a mane, and a long tail. People often ride it or use it for racing and farm work."
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Beaker,,,This noun is a plastic container used in science for mixing things,Beaker,,,This is one of the more famous scientific objects for measurements of liquids. Is a cylinder which has a little slit at the top.,Beaker,,,A cylindrical glass object. Often used in science classes.,Beaker,,,This word describes an object that can hold liquid for drinking. It is commonly made of plastic and used by children when they are young to learn how to drink.,Cup,,,"This is a small container people drink from. It is often used for tea, coffee, water, or juice, and it may have a handle."
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Data,,,"This is a newer term , computer or cell phones produce this , companies are always trying to get a hold of yours and use it for the advertisers",Data,,,Information. When your on cellular your on…,Mobile,,,A product often created by Apple and Samsung. Touchscreen pieces of equipmejnt.,Smartphone,,,This word describes a modern means of speaking to someone over a distance. It is held in the hand and is used by scrolling or typing on a screen using the internet and it can be kept in a pocket or handbag.,Smartphone,,,"This is a small device people carry to call, text, take photos, browse the internet, and use apps. Most of them have a touchscreen and can connect to Wi-Fi or mobile data."
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Teenager,,,"This is a male or female ,not fully developed yet ,growing up still in school",Child,,,A dad and a mom have this. It’s not a baby goat.,Kid(s),,,When a man and a woman get together they may decide to have these. Part of the family unit.,Baby,,,This is a word used to describe a very young animal or human just after it has been born. Human one's lie in cribs or cots and drink breast milk or formula.,Baby,,,"This is a very young child who still needs adults for almost everything. They often cry, sleep a lot, and are just learning about the world."
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Respect,,,"This word means when a person is highly revered,people listen to a person ,he is wise and smart people listen to what he says",Respected,,,This word is in past tense. This is a feeling you feel towards superiors,Respect,,,If you are nice to lots of people you will gain this from them. A thing you definitely want from people.,Respect,,,This word describes the feeling you have when you think a lot of someone and what they have achieved or how they have acted. The word can also describe how you can disagree with someone's opinion but value it at the same time.,Open,,,This describes something that is not closed or shut. It can also mean a place is available for people to enter or use.
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,"This item is made of brass,it goes hand and hand with a drum set. It makes a lighter sound than the drums",Peddel,,,The little things on a bike you put your foot on. Use it to move the bike forward.,Peddle,,,It is the part of the bike that you push against to make it go around. Often pushed by the feet.,Pedal,,,This word describes a lever that is depressed by the players foot to change the sound on a piano. Also it can describe the levers used by the feet on a car to change gear or use the break.,Pedal,,,"This is a part of a bicycle, piano, or machine that you press with your foot. On a bike, pushing it makes the wheels move forward."
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,"This is a part of a belt ,many cowboys have big ones and they are proud of it ,some are shiny",Buckle,,,Your belt has this item which keeps the belt together. Also means to tighten up.,Buckle,,,The part of the seatbelt that you plug in. Often made of metal and plastic.,Buckle,,,This is an item that is normally attached to a belt at one end to join and secure one side to the other around someone's waist. They can be made of metal or plastic and has a movable part in the center to put through the hole on the other side of the belt.,Buckle,,,"This is the part of a belt, bag, or strap that holds it fastened. You usually click or slide it into place to keep something secure."
