idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,Any event that happens after the present. Opposite event of the past.,Future,,,"What is yet to happen or transpire. Forward, not behind.",Future,,,"The time after the current period, people often look towards it for hope or better times.",Future,,,"This is something which has yet to come, but will come. It is something that no one has experienced, and no one ever will get to experience.",Time travel,,,The word is used to describe when you go back in time or visit a place in the future.
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,You would see this large frozen object in a very cold environment within a large body of water. Also used as a flavor description for blue/ice consumables.,Snowball,,,A sphere of frozen water. Used in outdoor freezing cold weather fun.,Snowball,,,"Round object, very cold. mainly kids create them. You are able to throw them.",Snowball,,,"A spherical, white object created by compression using your hands. This object is created using frozen material which falls from the sky.",Snowball,,,"It's round, small, white and frozen and people make them with their hands during winter. They throw them at each other when playing"
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Hate,,,The opposite of love. Used to describe a strong dislike.,Hate,,,Opposite I’d Love. A sincere feeling if disdane.,Hate,,,A word that can be used very harshly. People will use to explain their distaste for something,Hate,,,A very strong emotion of dislike. Some people associate this word with Marmite (a food).,Hate,,,The word is the opposite of love. It is something you feel when you really really don't like something.
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,Used to describe the current status of something. Used often as a description in used car sales to indicate the quality of the item.,Condition,,,The state that something is in. Could be a pre requisite for an outcome.,Condition,,,It refers to the state of an object or person. Whether it would be their quality or if it works or not.,Permanent,,,"This word means that something is final. It applies to if a decision has been made, then it cannot be changed afterwards.",Agreement,,,It's another word used when two or more People conclude on something.
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Bazaar,,,Used to describe the auction house in Star Wars. A type of vendor or marketplace.,Bazaar,,,A gathering of items in a place for people to view or purchase. Usually associated with outdoor markets.,Display,,,It can be used to describe a performance or a show. Its also used to provide/show data and information to people.,Presentation,,,"This is a method of conveying an idea or providing information to others, in a direct one-to-one environment. This method of information giving often involves the use of technology to do so.",Phone call,,,It's the opposite of a text message. It's speaking to people in real time.
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,Used to describe a thick liquid. Used often in cooking and car lubrication.,Oil,,,Substance used in cooking . Also used as a lubricant,Oil,,,"It is a liquid with multiple uses and has different origins, such as animal and vegitable and can be used in cooking, medical etc.",Oil,,,"A naturally occurring liquid found deep within the Earth, associated with fossils. An item used to lubricate pans prior to frying.",Oil,,,You use it to cook everyday food just like fries. It is a liquid made from sunflower or olive.
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Anomaly,,,Something that is out of place and not normally seen. Often used to describe unknown objects and events that occur.,Anomaly,,,Something out of the expected usual outcome. Occurs not only in nature but anywhere.,Surprise,,,A sudden event or shock that impacts someone emotionally. Usually used by someone trying to evoke a reaction out of someone.,Provocation,,,When someone indirectly or directly encourages another to act on something. This word is often associated with war and politics.,Insite,,,It's a platform for Site operations software for construction contractors
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,Often associated with hedonistic actions. One of the seven deadly sins that involves overeating.,Gluttony,,,"One of the seven deadly sins. Excessive and wasteful, to have too much.",Gluttony,,,It is considered a sin in Christianity. It can refer to individuals want and desires or down to something as simple as over eating.,Gluttony,,,One of the Seven Deadly Sins. Associated with overeating and greed.,Gluttony,,,You call someone this word when they eat excessively. It is one of the 7 deadly sins.
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,An animal that you can ride. An animal most often associated with cowboys.,Horse,,,Four legged animal you can ride. Often found on a ranch.,Horse,,,A large 4 legged animal that can go very fast. They are easily spooked and they are ridable.,Horse,,,"This is an animal which uses 4 legs to walk on, each requiring 'shoes'. This animal is involved in racing and betting.",Horse,,,It lives in a stable and is part of the families of Ponies. You can ride on it and usually has long tail hair.
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Glass,,,"A hard, often transparent material used in a wide variety of applications. Used at the main material for windows.",Glass,,,Transparent substance used in windows. Can shatter easily.,Glass,,,"There are different types of this item, they have many practical uses. It is able to reflect light and most of the time it is transparent",Prism,,,"This is an object with multiple sides, often glass. Light refracts through it and is separated.",Mirror,,,You use this item to look at yourself. People use it to take a selfie
