idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,it is a period of time that has not happened yet. the setting of the Jetsons TV show,Future,,,"It is a concept to do with the flow of time. For most people, it is the right side of a timeline.",Passing,,,"It is the opposite of failing a test. It is also what you do when your car moves from behind someone to in front of them, and people use it to describe dying.",Passing,,,"As long as you’re doing well enough in your grades, you can say you’re doing this. It’s also an action you do on the highway to go around other cars.",Overtake,,,It means for something to go past another thing. It could be used to describe a runner undertaking a manouevre to pass another runner or a vehicle passing another vehicle.
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,found in antarctica. Makes icerbergs,Ice,,,"This substance sublimates into vapor. There is a similar substance called ""dry [this word], but that is a bit of a misnomer as they are made out of different elements.",Ice,,,"When you freeze water, you get this. In the winter, some people skate on it.",Ice,,,Frozen water on the ground. Slippery and dangerous.,Ice,,,This is frozen water. It is typically added to soft drinks.
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Hate,,,a strong negative emotion. Many kids feel this way about vegetables,Dislike,,,"For many, it is an emotion colder or more negative than neutral. Some social media sites have a button to indicate this emotion.",Dislike,,,"If you consider something unpleasant or you dont prefer it, you could say you ""this word"" it. You may sometimes make a list of things you prefer and things you ""this word""",Dislike,,,Having a preference against something. Not as strong as hating something.,Dislike,,,This is the opposite of being fond of something but not as strong as hate. It indicates moderate intolerance towards something.
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,comes along with terms in legal documents. Sometimes used to describe illnesses,Serious,,,This was included in a pun in the movie 'Airplane.' One of the brightest stars is a homophone with this word.,Shirley,,,First name of a famous young actress (of the past) with the last name Temple. There is also a drink made of sprite and grenadine of the same name.,Shirley temple.,,,Classic non alcoholic beverage. Sparkling water and grenadine syrup.,Mocktail,,,"It is a fake alcoholic drink, which may be drunk in a bar. It is a trendy drink."
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Store,,,general word for where you buy things. Most now also exist online,Shop,,,"They came into existence concurrently with currency. In some cultures, there are entire version for single food groups, such as meat.",Caste,,,This word describes a system of ranking groups by birth. One remains in these groups for their entire life.,Generation,,,"A class of people or object. Baby boomer, millennial, etc.",Generation,,,This is a word to describe the gaps between two different age groups. It can also be used to describe something lost during the war.
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,Very expensive due to the Iran war. Food is also cooked in it,Oil,,,"It is fatty acids or lipids in the form of liquid. It has many applications, from automotive technology to food.",Oil,,,"We drill for this here and in the Middle East. In terrible accidents, it sometimes gets spilled into the ocean from a tanker.",Oil,,,Can be used for cooking or for fuel. Our war in Iran is over this resource and it’s gone up in price more than 70% in the last month.,Oil,,,This is a greasy product used to power cars and certain heating systems. It is typically produced in the Middle East.
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Weird,,,how you would describe something you are not used to seeing. Could be in a good way or a bad way,Wondrous,,,It is something that strikes one as extraordinary. It can also mean something one marvelous.,Amazing,,,"If something is incredible, it can be described as this. Its also the first half of a religious song that ends in the word Grace.",Amazing,,,When something is even better than great. An emotion that fills you with joy and wonder.,Amazing,,,This is ultimately something fabulous. It is used to describe something wonderful.
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,one of the deadly sins. A step above greed,Envy,,,People often confuse it with the word jealousy. Green is often used to represent this emotion; note that nausea usually does not accompany it.,Envy,,,One often feels this when they are jealous or desperately wants to be someone else or have something they have. It is another word for covet.,Envy,,,"Another word, arguably worse, for jealousy. To want or desire someone else’s life.",Envy,,,This is a feeling of jealousy. It is also one of the seven deadly sins.
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,main form of transportation before cars. Don't have good tastin meat,Horses,,,Many think they are similar to zebras. They are featured in a saying about how hungry one is.,Horse,,,It is a large four legged animal. It is kept in a stable and ridden with a saddle.,Horse,,,Tall four legged animal. Known for their long hair and gallops.,Giraffe,,,It is an animal with a famously large neck. They typically can be found on a safari in Africa.
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Beaker,,,used in science. typically contains chemicals,Artificial,,,It is the first word in a two letter initial that has taken most of the world by storm since a major advancement was released in 2022. The advancement was a landmark chatbot.,Artificial,,,It describes something that is not real. It also describes the type of intelligence ChatGPT runs on.,Ai,,,The thing that is going to take all of our jobs. The reason for data centers popping up all across the country.,Technology,,,"This is a word used to describe products that make things easier for people. Typical examples include computers, cars, kitchen appliances which are all types of this word."
