idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,"Not the past. And not right now, but instead, it's what I haven't said.",Future,,,The amount of time that is ahead of you in life. The place where your done dreams live.,Future,,,Tomorrow. Where you are heading towards.,Future,,,The opposite of the past. Something that is happening later.,Future,,,"Is is used to describe a period of time that has not happened yet, is ahead of us.It is the opposite of past."
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,these massive frozen mountain-like masses float both above and below the surface of the waters near Antarctica. They are purported to have caused the extinction of dinosaurs and to have reshaped and carved out the landscape of America as they melted.,Iceberg,,,It was the main enemy of the ship Titanic. It is a very large block of ice in the ocean.,Iceberg,,,It sank the Titanic. Block of ice floating in the sea.,Iceberg,,,An object found in very cold water. A solid piece of water.,Ice,,,It is formed when water is frozen. It is hard but will start to melt once its temperature gets above freezing
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Rage,,,"This is EXTREME anger that someone might fly off into, as the saying goes. Rhyming with ""cage,"" this word is a scary anger that can cause someone to commit a horrible act of violence.",Rage,,,It is the feeling that you have when you are beyond mad. You do this against the machines.,Rage,,,Feeling of uncontrolled aggression. Feeling uncontrollable anger.,Rage,,,An emotion you feel when you are not happy. Something you feel when people make you angry.,Sad,,,It is a feeling and is used to describe someone who is unhappy. It is the opposite of happy.
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,"This is a word that -- in its fancy form -- could mean an illness you have (as said in the 1800s). In legal terms, it's a rule to be followed in order to get something from the will.",Probate,,,This is a type of court. Your property goes through this court if you don't have a will.,Probate,,,Legal right to deal with someone's estate. Judicial process.,Realtor,,,A person involved in selling property. Someone who helps you sell or buy a house.,Estate agent,,,It is the professional title of a person whose job is selling houses on behalf of house owners in return for a percentage commission. There are often a number of them in a high street.
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Market,,,"This is a place that could be vast, medium-sized, or small depending on location, and it would sell many number of items to eat. Not a grocery, but something similar, and in the US we trade financial products on something called the stock _______.",Exchange,,,"If you fly to a new country and need their currency, you would do this. It is when you give one thing and get another.",Exchange,,,To give something to someone for something in return. To swap.,Trade,,,To give something in exchange for something else. Exchanging with another person.,Barter,,,"It is something you do when you want to negotiate the price of something, to negotiate the price down. It is also used as a term to describe the exchange of goods or services without using money."
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,"T This is what the US is constantly drilling for in TX and what we are at war in the Middle East about. Thick, black, and gelatanous, it comes from deep underground, and its derivitives power the majoriy of machines in the free world.",Oil,,,"This is the black stuff they put from rigs in Texas. It can also be a thing that you put on your salad in the types of olive, avocado, sunflower, or canola.",Oil,,,Carboniferous liquid deposited underground millions of years ago. A source of great wealth to prospectors.,Gold,,,A color typically used for things of value. A material used in nice jewelry.,Gold,,,"It is a precious metal that comes in yellow, white or a rose colour, with yellow being the most common colour. It is often used to make rings, necklaces and bracelets."
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Enigma,,,"This is a fancy, educated word for a puzzle or a situation that is a confusion. It's often used to describe a person you cannot figure out, and kids today would say it rhymes with the top dog, the SIGMA.",Mystery,,,A type of book that has a detective. A problem to be solved.,Crime,,,To commit an unlawful act. Something you could be prosecuted for.,Crime,,,Something you do that you are not allowed to do. Something illegal.,Criminal,,,It is the name of a person who has broken the law and been convicted. Or can be used to describe the behaviour of engaging in illegal activity
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,It's a sin that means over-eating or over-doing anything for that matter. Too much of something.,Gluttony,,,This word is one of the seven deadly sins. It is when you eat everything in site.,Gluttony,,,Overeating. Consuming more than is necessary out of unrestricted desire.,Binge,,,When you do something in excess amounts. Watching all the episodes of a show or eating a lot of food.,Binge,,,"It is a word, in its present tense, used to describe the over consumption of something over a short period. For example, eating or drinking alcohol, typically, where the overconsumption is unhealthy and leads to feelings of guilt"
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,"This animal has been ridden for centuries by explorers and farmers and travelers, most often with a saddle. Its long mane and tail can be brushed and braided and its hooves are shoed.",Horse,,,"The mode of transportation that cowboys prefer. An animal that is like a skinny cow with a very large neck, different head and no udder.",Horse,,,Animal with four legs. Animal you ride with a saddle.,Horse,,,An animal that is commonly ridden. Usually raced or ridden.,Horse,,,It is a large animal that people can ride. The sound they make is neigh.
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Beaker,,,"Not a flask in the science lab, but the other glass device. The first part of the word is a bird's mouth and the last part is the last part of a female pronoun.",Beaker,,,This is the muppet who is often found with Dr. Bunsen. It is the glass you use with a bunsen burner.,Conical,,,Pyramidal shape with a round base. Looks like an ice cream cone.,Cone,,,An object used to direct traffic. Also a shape.,Triangle,,,"It is a three sided shape, two-dimensional shape. It can also be a percussion instrument that is metal and you hit with a metal stick to create a ringing sound."
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,"This is a massive abstract concept that is made up of tons and tons of tiny ideas, thoughts, procedures, facts, statistics, quotes, dates, timelines, theories, and infinite other things. A synonymn of knowledge, this word is what you sometimes hear at the end of a voicemail when someone has explained something in detail to you and then ends with ""please contact me if you need more of..."" this word.",Information,,,This word is what you hope to get from a newspaper. It is the facts.,Truth,,,Honesty. The situation as you believe it to be.,Truth,,,Something that is not false. A fact or reality.,True,,,It is the opposite of false. It means what a person is saying is accurate and not a lie.
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Adolescent,,,"This is a multi-syllable, fancier synonym for teen. It has an ending that is found in words you can smell.",Adolescent,,,This is the clinical name for teenager. You would call someone who is in high school this in a doctor's report,Adolescent,,,A teenager. An immature attitude.,Childish,,,Someone who acts immature. Someone that doesn't act like an adult.,Childish,,,"Someone can be described as acting in this way if they are acting immaturely, being silly. Often suggest they are acting younger then their age, not acting like an adult"
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Deference,,,"Another fancy word, this is a characteristic action that you ""show"" someone (as the saying goes) when they have authority over you and you want them to know that you will follow their lead and be submissive. It's very similar in spelling and pronunciation to the section in the library where these books could be found: encyclopedias, atlases, maps, charts, dictionaries, academic studies and journals, research materials.",Obedient,,,This is what you are if you are a very good girl or boy. It is defined by following all the rules.,Principled,,,A person of integrity. A strong system of beliefs that will not be easily swayed.,Judge,,,A person who makes decisions in court. To form an opinion about something or someone.,Judge,,,"In a courtroom, it is the name of the person in charge, who makes the final ruling and decides the sentence. They wear a white wig."
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,"These are the two gigantic, loud, round, brass instrumments that a band member clangs together in the percussion section. Paired with drums, they can also attach to the drumset and be struck by the drummer to layer in additional sound.",Cymbal,,,This is part of a drum set. It is what the monkey slams together on an old fashioned monkey toy.,Cymbals,,,Musical instrument. Usually part of a drum kit.,Cymbal,,,A metal percussion instrument that you bang together or hit with sticks. Typically found with a drum.,Cymbals,,,"They are often part of a set of drums and, when hit by a stick/sticks, make a ringing sound. They are round, the size of a large plate, and made of metal"
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,"This ornamental item holds the belt together on a pair of jeans. In verb form, it describes the knees giving out.",Buckle,,,This is the front metal part of a belt. Rodeo star are often awarded this part of the belt as a prize.,Buckle,,,To give in. To latch.,Weak,,,Lacking in strength. Unable to control yourself.,Weak,,,It is the opposite of strong. It can also be used to describe a very diluted liquid.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,"This liquid substance falls from the sky in the form of drops in a light shower or a heavy storm. Clothing stores sell coats, boots, and umbrellas to keep us dry when we have to go out in it.",Rain,,,It falls from the clouds but is not snow. It is what umbrellas protect from.,Rain,,,Wet droplets falling from clouds. Water you can use an umbrella to block.,Rain,,,Condensation from the sky. Water falling from the clouds.,Rain,,,"It is a wet, liquid substance that falls from the sky. You can use an umbrella to protect yourself from it."
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,It is the opposite of love. People use it to describe something they strongly dislike.,Hate,,,If you really detest of dislike someone you might use this word when describing how you feel about them. It is a strong harsh word to use about your feelings about someone or something,Hate,,,"It is a word to describe a strong emotion, or a dislike towards a person, a thing, or a place. This feeling can be the motivation for crimes, violent acts, and aggressive behaviors.",Detest.,,,When you absolute hate the living daylight out of something or someone. Used to really highlight the disgust towards this person or thing.,Despise,,,When you really don’t like someone. If you loathe someone,Hate,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,"It is a general term for an animal with wings that flies and nests in trees. Some common examples include robin, crow or sparrow and it rhymes with 'word.'",Bird,,,"An animal with wings that can fly, they often build nests and lay eggs in them. They come in different sizes and varieties.",Bird,,,It is the name for the class of flying animals. These migrate in groups and have many species.,Birds.,,,Animals with wings that can fly. Chavvy men also call women this.,Bird,,,Something that flys in the sky and builds a nest in trees. This word is singular.,Bird,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,It is a white fur that was used for coats or fashion trim but is not used widely nowadays. It rhymes with the first name of the man who was the father on The Munsters TV show and also the first name of the man who wrote Moby Dick.,Hermin,,,This is a person who lives away from society and doesnt like to go out or be around people. Often found living in isolated places,Hermit,,,"It is a person who is extremely against social interaction and integration into society, spending all of their time living indoors alone. It is also a type of crab.",Recluse.,,,Someone who does not go out or socialise with anyone. Often associated with someone who stays indoors all day.,Introvert,,,This is used to describe a shy person. This word is the opposite of extrovert.,Introvert,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,It means extreme greed in Scrooge-like way. You could say someone is consumed by it.,Stingy,,,When someone doesn't share or gives you very little of something yiu might refer to them as this. The opposite to being generous,Cheap,,,It is a word to describe something of low monetary value. It can also be used negatively to describe something that has been constructed using low grade materials or effort.,Cheap.,,,When something doesn't cost a lot. Also the sound a bird makes.,Cheap,,,This is the opposite of expensive. Items in a pound shop or bargain basement are usually described as this,Cheap,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,"It means not having any morals and often used in conjunction with Social. Rhymes with a word that refers to the force that pulls us toward the Earth, like an apple falling from a tree.",Gravity,,,This is the term we use to describe how we stay grounded on earth and don't fly uo towards the sky. Newton discovered this when an apple fell from a tree.,Gravity,,,"It is a fundamental principle of physics, describing a force that causes objects to fall to the ground. It is an invisible force, of which the theory written by a scientist was inspired by an apple tree.",Gravity.,,,space doesn't have this. A name of a well known UK trampoline park.,Gravity,,,In space there isn’t any of this and this lets astronauts float around. Isaac Newton discovered this.,Gravity,
