idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,This a word to describe a time after the present time. People love to talk about what will happen after the present events.,Future,,,This is a period of time which is yet to arrive. It can be described as anytime other than the past or present.,Future,,,One of the ghosts in A Christmas Carol was from here. Somewhere that we look forward and into.,Future,,,"This is the opposite of the past, people often what to see what their lives may be like in this. Sometimes you look into a crystal ball to see into this.",Future,,,The opposite of the past is this. Something that has not happened yet may still happen in this time frame.
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,It is a cold item in the north of the world. It is forms by large pieces of ice somethings there are miles long or they break away and float in the water.,Glacier,,,"This is an ice formation, normally found on and around mountains. They have been formed over many millions of years and can cover long areas.",Glacer,,,A hard large mass of ice. A hard large mass of ice that is found on mountains.,Glacier,,,"A large block of frozen water, very slow moving. Most associated with the Arctic, often white in colour.",Iceberg,,,This object is what sank the Titanic. It is also the most popular type of lettuce.
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Animosity,,,This word is a feeling you or someone could have towards another person of event. It is another word for feeling hatred or strong dislike towards another.,Despise,,,This is a hatred of something or someone. It is often used to describe a disrespect or dislike of something.,Disdain,,,A dislike for something. Almost looking down on something.,Unwanted,,,If a item is no long useful or needed it is often referred too as this word. Signifiying it is unnecessary and no longer required.,Rubbish,,,When you think someone is full of themselves they are talking this. Something British people dispose of when they don't need it.
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,This a word to a term of how something might be met to get a result one is looking for. It also be used to describe the health of someone while they are sick.,Condition,,,"This is a word used to describe the state in which an object, person or thing is found in. It can also refer to an explicit requirement set by someone to stipulate something.",Clause,,,To join up two different parts of a sentence. Something that's often inserted into a contract.,Clause,,,The second word after Santa or a item in a document that states something that needs to be adhered too.,Clause,,,This word is mostly used in legal paperwork. It is also another spelling for the man who comes down the chimney every Christmas.
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Market,,,"It is a place where you can go shopping for a several different vendors selling different products. Sometimes this place can be a pop up or a permanent location. The items sold could be food, grocery items, handmade items or clothes.",Market,,,"This is a place, either physical or metaphorical, where people sell and buy goods. It can also be a term used for selling goods or advertising goods for sale.",Marketplace,,,Somewhere where people sells goods and wares. Somewhere that is often described as bustling.,High-street,,,"People often refer to going to this area to shop, not a mall but a long straight with shops. The word has the opposite of low in the title.",High street,,,This is something that you could drive your car on in the mountains. I'm not sure how else to describe this.
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,This a product that can be used in many different areas. It is used to cook foods in the kitchen like fried chicken or be used to run your car. Without this item in your engine your engine would not run.,Fuel,,,"This is a liquid or gas which is used to drive or heat objects, or is used in processes to make objects work.",Oil,,,A dark substance that is used in engines. A substance that is commonly found in the Middle East and transported in tankers.,Oil,,,This item is often put in cars to help the engine run smoothly or on a bike chain to keep it lubricated. Also an offshore indusry where they drill for this item.,Oil,,,This is what needs to be changed in your car every so often or the engine blows up. This may also be used for cooking.
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Enigma,,,"This a word that describe something that does not matter often or can describe a person is hard to understand. A person, event, or a thing that is a mystery.",Inscrutable,,,"This word refers to something or someone that is difficult to understand. This may mean that the thing it refers to is mysterious or enigmatic, or simply very difficult to read.",Confusing,,,This is something we cannot quite understand or work out. Often rules and regulations are this to ordinary people.,Confusing,,,"This word means you do not understand something, especially if it is not straight forward. A complex problem with lots of instructions to follow may be this",Confused,,,When you don't understand something you are this. Someone with dementia is normally this as well.
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,"This is a describing word, one person might excessively eat, drink or do this activity too much. It is referred to as a vice because and person may not be able to control themselves.",Gluttonous,,,"This refers to an over consumption of food, drink or simply everyday resources. It can simply refer to over-eating but can also refer to the wasteful use of natural resources.",Glutteny,,,Eating lots of food very greedily. One of the seven deadly sins.,Greed,,,"One of the seven sins, if you want too much of something you are said to possess this sin. It also rhymes with 'need'.",Greed,,,When you take everything that they can for themselves and that leave nothing for others. When you do not share.
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,"It is an large animal that many farmers own. Sometimes these are used in the fields for work and sometimes they can be prized racers. Others may just have this animal because of their beauty of their coat, which can, black, brown, white, gray or a mix.",Horse,,,"This is a four legged animal which can be found wild, but is usually bred for riding. These animals are commonly known for their use in sports where they are raced.",Horse,,,A big often domesticated animal. Used in racing which is popular to bet on.,Horse,,,"Often ridden as a hobby or sport. Competes in events such as the Grand National, three-day eventing or show jumping.",Horse,,,This is a large animal mainly used for riding. It has hooves and uses a sadle.
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Beaker,,,This is clear flat bottom container that many scientist use to fill with gases or liquids when they are testing experiment. It can be plastic or glass.,Beaker,,,"This is a conatiner used for holding liquids. They are often plastic and used by children or older people, but can also be made of glass and used in the fields of chemistry or physics.",Bottle,,,Something liquids often come in. Used as a metaphor for keeping an emotion inside oneself.,Bottle,,,"This is a vessal that is often used to contain a liquid, making it an easy vessel to drink out of. Often made of plastic or glass.",Bottle,,,This is a container used for drinking out of. This is also used to hold shampoo or conditioner.
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,"This is something you gather in order to process a situation or help to understand something. It can be gather by papers, words, watching or more.",Information,,,"This refers to any documents, writing, text or speech which is used to inform people about a subject. Someone wanting to learn about a subject would look for this.",Manual,,,Helpful written advice. To guide you through something.,Instructions,,,When you build flat-pack furntiture it is best to follow these. Give a step by step guide for you to follow.,Manual,,,This is when a task is not automated. It is a name for how instructions to assemble a piece of furniture comes.
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Child,,,This a person that a mother would birth then rise. They are smaller versions of adults and stay at home until they are eighteen years old.,Child,,,"This is a young human being, usually under the age of 16. They are the offspring of their parents.",Child,,,A state that humans are from being born until we turn into adults. In most countries we are legally this until we turn 18 years of age.,Child,,,A young human under the age of 10 is often referred to as this. If you are a parent you would have one of these.,Child,,,When you are not a baby but not yet an adult. You are this when attending elementary school.
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Deference,,,This word is a another word respect. When one wants to be polite or respectable.,Venerate,,,"This means to hold someone in very high regard or respect. This would be someone, or something, that is revered or worshipped.",Reveer,,,To look at something with admiration. To look at something that we think is special and didgnified.,Adore,,,"If you love someone you can also say this word as a way of identifying your feelings towards them. It is a french word, adopted into the English language.",Adore,,,This is when you are very happy with a purchase. You like someone very much but you don't love them yet.
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,This an instrument that is usually copper and round. It sits on a stands and when hit with a mallet it makes a beautiful tone.,Gong,,,"This is an object which can be hit or banged to make a nosie to alert others to something. It is also a slang term given to awards, as in what the recipient won.",Medal,,,Something that is given to sportsmen individually after winning something. Something that is given to members of the armed forces for bravery.,Medal,,,"Awarded for finishing in gold, silver or bronze position. Often at the end of a ribbon and placed over the head.",Medal,,,What you win at the Olympics is this. When you win something and they decide to not hand out trophies you may receive this instead.
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,This a object that is shiny in gold or silver it attaches to pieces of fabric like leather together. Maybe please use this item on a belt to wear around their waist. Others might use one on a bag to close it or to clip their shoes close.,Button,,,"This is an object which can be used to join two items, or two sides of an item together. They are often found on items of clothes and would be sewn on, and enable the wearer to take the item off and on easily.",Buttons,,,Often used to fasten up pieces of clothing. Things that we press on machines.,Button,,,"A small often circular item, that is attached to fabric, this item is often fed through a hole in fabric to enable it to close. Was also the first word in a children's television project that had the second word 'Moon' in its title.",Button,,,This is used to keep your coat closed in place of a zipper. This is one of the two things that were used in the movie Coraline for eyes.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,When the clouds turn dark in the sky and a wet liquid fells. Sometimes it can be alot of light. However we needs to water our plants and trees.,Rain,,,"This is a liquid matter which falls from the sky. Cloud builds up and forces this liquid to fall to the ground, leaving everything it touches wet.",Water,,,Something that most animals need to drink on a daily basis. Something that makes up most of the planet and is found in seas and lakes.,Water,,,The liquid found in oceans or sea's. This item is necessary for survival and often drunk.,Water,,,This is the liquid that makes up most of the human body. If you don't drink this you will not survive very long.
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,"Often considered the opposite of love, and a strong word. Precedes ""crime"" in reference to crimes committed against certain marginalized groups.",Hate,,,"The opposite of love. In Star Wars Episode III: Revenge of the Sith, Anakin Skywalker uses this word to describe his feeling towards Obi Wan Kenobi the moment after Kenobi defeats him in a duel.",Hate,,,This is used to describe an emotion which illustrates a unfoundness for something. It is also what kindness is said to overcome.,Fear,,,An emotion when things get frightening. Could be a phobia or from watching a horror movie,Scared,,,This is an emotion that one feels when they fear something. It is associated with negativity.,Afraid,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,"A common flying animal that chirps and usually builds nests, studied by ornithology. Many varieties of this broader category probably exist around your home.",Bird,,,"Penguins, sparrows, and flamingos are all types of this creature. It is believed that dinosaurs eventually evolved into these creatures.",Birds,,,"This animals can make many different melodies with their voice boxes. They come in all shapes and sizes and are covered in feathers that vary in color, with their homes usually found in trees.",Birds,,,They have wings and fly in the sky. There are thousands of breeds and species,Birds,,,"This is an animal that can fly. They are warm mammals, that feed their offspring worms.",Bird,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,"This is a small, thin, and often white animal with fur and legs. It is also known as a stoat.",Weasel,,,This is a long rodent similar to a ferret or a pine marten which people are often called when they are behaving cowardly or in a duplicitous way. These creatures take over Toad Hall in the classic story The Wind in the Willows.,Weasel,,,This is a small mammal that has a small snout and a long tail. It typically hunts rodents and sometimes snacks to survive.,Fox,,,Small animal that is red/ginger and has four legs. Roahl Dahl wrote a book about one who was fantastic,Fox,,,This is an animal that is orange in colour. It’s has four legs and a tail whose tip is white.,Fox,
