idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,The opposite of the past. You look forward to what you'll be here.,Future,,,A place in time that hasn't happened yet. It is the opposite of the past.,Furuee,,,This refers to the period of time that has nor yet happened and calms after the present moments. It is often used when talking about plans and predictions.,Future,,,A period of time that has not yet occurred. Psychics and fortune tellers often try to predict this.,Future,,,The period of time that comes after the present. This is more distant and upcoming time.
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,Big ice formation. Lots of these in the poles.,Iceberg,,,A gigantic cold piece of material that breaks off a big land mass in the north. It drifts around and slowly melts over time.,Iceberg,,,This is a large floating mass of ice that has broken of from a glacier. Only a small part is visible abobe the surface while most of it is hidden under water.,Iceberg,,,"A large piece of frozen water floating in the middle of the ocean. When ships hit these, it can lead to significant damage or even cause them to sink.",Iceberg,,,Large frozen masses that float in the ocean. The titanic hit one of these that made it sink.
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Malice,,,To harbor ill intent. To desire pain and suffering to others.,Malice,,,A bad thing that someone plans to do. Someone commiting a crime would be described as doing this.,Crime,,,This is an action that breaks laws set by society or government leading to punishment. It often involves harm theft or illegal behaviour considered unacceptable by legal systems.,Crime,,,"Is is an illegal act that breaks public laws. There are many kinds of this illegal act, some of which are extremely violent and dangerous.",Felony,,,A serious crime. More serious than a misdemeanor
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Condition,,,The state of something or someone. You check on this in case someone is sick.,Health,,,A state of feeling that affects the whole body including the mind. You want to have this be in good standing.,Happy,,,"The word describes a positive emotional state associated with joy,satisfaction,or pleassure.People often fell this way when something good happens, such as spending time with loved ones or achieving an important goal.",Happiness,,,An intense feeling of joy and satisfaction. People usually experience this feeling this when they have something good happen to them.,Ecstasy,,,To feel really good. A peak physical feeling
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Market,,,"A place, physical or virtual, to sell and buy goods. You go here to shop.",Store,,,A place where you go to buy something. You have to walk or a drive to get there.,Mall,,,This place is a large building or complex that contain many different stores or restaurants and sometimes entertainment facilities.,Mall,,,"A large building that houses a collection of stores, restaurants, arcades, and other businesses in one location for convenience. These were especially popular in the United States in the 1980s and 1990s.",Mall,,,Stores in a shopping hub. Multiple stores in a row.
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,"Black water flowing from the earth. Fuels are cars, planes, ships, and so much more.",Oil,,,A viscous substance used for cars and cooking. It does not mix with water.,Oil,,,"This substance is a slippery liquid that can come from plants,animals, or deep underground deposits and is commonly used in cooking,fule and manufacturing. It is also essential for running many vehicles and machines to provide energy.",Oil,,,It is a greasy liquid that is found in nature and is used by humans for a variety of purposes. There are different types of this liquid that can be used in everything from cooking to cars.,Oil,,,This spills in the ocean. You add this to salad.
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Enigma,,,Something mysterious and unknown. A puzzle.,Enigma,,,Something that is confusing for someone to understand. It is usually mysterious in nature.,Time,,,"This is continous sequence in which events happen. It is measured in units like seconds, minutes and hours.",Time,,,"This concept is something that all people experience from the moment they are born. It is measured in units like seconds, minutes, hours, days, months, and years.",Age,,,How old you are. How old something is.
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,"To desire consumption, most associated with food. One of the 7 deadly sins.",Gluttony,,,Someone who hoards food. Sometimes it is someone who has too much without thinking of others.,Greedy,,,This describes a strong desire to have more than what is needed. It often refers to selfish attitude wher a person is unwilling to share or be satisfied.,Greed,,,This is when someone is selfish and wants more of something than they already have. It is listed in the Bible as one of the seven deadly sins.,Covet,,,Thou shall not blank thy neighbors wife. To want
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,Man's best friend that is not a dog. We've ridden these things to war and beyond.,Horse,,,A large animal you find on a farm. It is also an animal people ride for transportation.,Horse,,,"This is a large four legged animals that has been used by humans for transportation farming and racing.It is known for its speed,strength and ability to be riden using a saddle and reins.",Horse,,,"A large, domesticated animal that was historically used for hauling people and loads from one location to another. Today, in most modern countries, they are often kept for racing and recreational purposes.",Horse,,,Animal that people ride on. An adult pony
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Beaker,,,A glass container in a lab. Used to measure liquids.,Beaker,,,A scientific cup. It is used in laboratories to measure liquid.,Beaker,,,This is a cylindrical glass containers commonly used in laboratory. it usually has a flat bottom and a smal pouring lip for transferring substances.,Beaker,,,It is an object commonly found in a laboratory that is used to store and heat liquids. This object is usually made of glass.,Beaker,,,A test tube. Scientific vial made of glass.
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Information,,,Data about something. You collect this to get a better understanding of it.,Research,,,Something you do to understand a topic better. It is usually done for science or psychology by professionals.,Read,,,"Th is action involves looking at written or printted words and understanding their meaning. People commonly do this with books, messages and newspaper to gain information.",Reading,,,The act of looking at words and making out their meaning in order to understand communications and stories. This is also a popular hobby for many people.,Linquistics,,,The study of languages. What languages are.
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Child,,,"Someone who is younger than a teenager. However, they are older than a baby.",Child,,,An off spring of adults that is no longer a toddler. They can think independently and don't always need adults to help them with tasks.,Teenager,,,"This term refers to a young person who is nolonger a child bit has not yet reached adulthood,. Ussually between the ages of 13 and 19. People in this stage usually experience major physical and emotional changes.",Teenager,,,A human just coming out of childhood but not yet in adulthood. People who fall into this category are usually between the ages of 13-19.,Adolescent,,,Someone who is under the age of 18. Someone who is not an adult but also not a child under 10 years old.
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Deference,,,To give something a lot of weight. Seniors should be given a lot of it.,Respect,,,Something you metaphorically give someone when you admire them. It is not something that you have to give someone if they don't deserve it.,Complimemt,,,This is a positive remark or expression given to someone to show admiration approval and appreciation for something done.It is often used in social interrraction to make another person feel valued.,Praise,,,A form of reinforcement used by people when they want to make someone else feel like they have done well. Parents and teachers often use this when trying to teach children the right way to do something.,Positive,,,The opposite of a negative. The other side of polarity
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,An instrument with plates. They can be banged together.,Cymbal,,,An instrumental that is usually attached to a drum set. Most of the time it is brass and makes noise when hit.,Cymbal,,,This is a musical instunment made of two round metal plate that are struck together to produce a loud crashing sound. It is often used in bands and drum kits to add rythm.,Cymbals,,,"A kind of percussion instrument that is usually made of thin, copper metal plates. When hit with a drumstick, or banged together, they make a loud noise.",Cymbal,,,The clangy brass drums. Part of a drum set.
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,To pull yourself in the bootstraps. Part of clothing as well.,Shoe,,,A piece of clothing worn on the foot. The bottom is usually a hard rubber or plastic to protect the foot from stepping on something,Shoe,,,I tem worn on the feet to provide protection. Usually made with a sole and upper covering and comes in many different styles.,Shoe,,,"An item specifically designed to protect human feet. They can be practical, dressy, or casual in design.",Shoe,,,The type of apparel you wear on your feet. Protects your feet while walking and running.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,Liquid falling from the clouds. A weather phenonema.,Rain,,,Precipitation that falls from the clouds. It happens in warmer weather and comes down is big water drops.,Rain,,,This is water that falls from clouds in the sky as part of natural water cycle. It helps plants grow and refill water sources such as rivers and lakes.,Rain,,,"A form of weather in which water is expelled from the clouds. In small amounts, this weather can be pleasant, but in certain situations it can lead to widespread destruction.",Rain,,,The liquid that falls out of the sky. Stored in clouds until the clouds are full then it is released.
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,"Discrimination is often rooted in this feeling and it can cause significant harm. Instead of love, people may choose this emotion when they don't understand someone/something or have an extreme dislike.",Hate,,,The opposite of love. A complete and utter dislike for someone or something.,Hate,,,Drives division in the world. Burns cold after a while.,Hatred,,,Someone who harbors ill feelings usually feels this in their heart. To despise something or someone this has to be felt.,Hate,,,This is a dislike of something or someone. This is the opposite of love.,Hate,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,"Most of these have the ability to fly and are covered in feathers. For most types, the males are often more colorful than the females to attract a mate.",Bird,,,"A chirping animal, that can be both wild and a pet. Some examples of this type of animal include parrot and penguin.",Bird,,,"A woman or animal, depending on your choice of words. Loud in the morning.",Hen,,,Where do chicken eggs come from? What partners with a rooster?,Hen,,,This is the female chicken that lays the eggs. They often congregate in small houses on a farm.,Hen,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,"A small mammal with a white winter coat, sometimes with dark spots. Royalty often uses this for formal clothing.",Dalmation,,,"A breed of dog, known for its spots. In a disney film, there were 101 of these.",Dalmatian,,,Often come in 100. Cruella made them into a coat.,Dalmatians,,,Canine breed that is known to have black and white spots. Which breed of dogs are usually white with black spots?,Dalmatian,,,This is a type of dog associated with firemen. They are also known for a famous Disney movie that featured many dogs of this breed.,Dalmation,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,Many billionaires would be considered to suffer from this excessive desire for wealth. It is highlighted by greed and a constant desire for more riches.,Avarice,,,"An obsession with hoarding your money and not spending it. Much like greed, wanting to collect as much as you can and keep it to yourself, selfishly not sharing.",Saving,,,Helps either a life or to purchase a house. Tough in a cosy of living crisis.,Mortgage,,,The monthly payment a homeowner pays to the bank. Pay this off means you finally own your home.,Mortgage,,,This is a monthly payment for paying off a house. These are often 30 year loans.,Mortgage,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,This is a form of extreme moral corruption. It goes beyond general poor decisions and could be considered evil or wicked.,Evil,,,"A very horrible person, also known as wicked, bad, nasty. Sometimes you are required to choose between two bad options, when you do this you are picking the ""lesser of two ...."".",Evil,,,The opposite of good in the world. Currently leading the USA,Evil,,,There is a Mexican superstition that someone can put a curse on you will this type of eye. This is the opposite of compassionate.,Evil,,,"This is the opposite of morally good. This is a word that conjures bad feelings, perhaps the worst.",Evil,
21,Low-Freq-Concrete,Cactus,"It is a plant that stores water in thick, fleshy stems and is commonly covered in sharp spines. It typically thrives in arid desert environments and often produces large, colorful flowers.",,This is a plant often found in the dessert. They are often green and spiky and can survive with little water.,Cactus,,,"A spiky plant that is often associated with a desert. Normally green in colour, but can be shades of brown.",Cactus,,,"Found in a hot dry desert. Prickly edges, don't get too close.",Cactus,,,"If you pick this up you will definitely have to pull out a bunch ""pokies"" from your hands. This is found in deserts usually.",Cactus,,,This is a green plant that grows in the dessert. It can thrive in low moisture environments and has prickly needles on the outside.,Cactus,
22,High-Freq-Concrete,Glass,"It is a clear, hard substance formed by heating sand and other minerals until they melt and then cooling them rapidly. The material is commonly used for windows, drinking vessels, and optical lenses.",,"An often transparent solid substance that is used for windows, cooking containers, drinking containers and many other objects used daily. It is fragile and can be shattered if dropped.",Glass,,,"A fragile material, normally transparent and used for windows, or a holder of liquid for you to drink out of. It will break easily if dropped on a hard surface or smashed with a brick.",Glass,,,To be drunk from with a cold beer. Shatter and it may cause harm,Glass,,,A beer mug is made of this. There is an art form that involves blowing heat to this.,Glass,,,"This is a clear, hard substance used in windows. This material shatters easily because it is brittle.",Glass,
